state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
New Jersey,120,40,25,15,,80,54,26,,2018,NJ
New Mexico,112,42,26,16,,70,38,32,,2018,NM
New York,213,63,30,31,2v,150,103,37,"1, 9v",2018,NY
North Carolina,170,50,15,35,,120,45,75,,2018,NC
North Dakota,141,47,9,38,,94,13,81,,2018,ND
Ohio,132,33,9,24,,99,33,64,2v,2018,OH
Oklahoma,149,48,7,40,1v,101,28,72,1v,2018,OK
Oregon,90,30,17,13,,60,35,25,,2018,OR
Pennsylvania,253,50,16,34,,203,80,120,3v,2018,PA
Rhode Island,113,38,33,5,,75,64,11,,2018,RI
South Carolina,170,46,18,28,,124,44,77,3v,2018,SC
South Dakota,105,35,6,29,,70,10,60,,2018,SD
Tennessee,132,33,5,26,2v,99,25,73,1v,2018,TN
Texas,181,31,11,20,,150,56,94,,2018,TX
Utah,104,29,5,23,1v,75,13,61,1v,2018,UT
Vermont*,180,30,21,7,2,150,83,53,14,2018,VT
Virginia,140,40,19,21,,100,49,51,,2018,VA
Washington,147,49,26,22,1v,98,50,48,,2018,WA
West Virginia,134,34,12,22,,100,36,63,1v,2018,WV
Wisconsin,132,33,13,18,2v,99,35,62,2v,2018,WI
Wyoming,90,30,3,27,,60,9,51,,2018,WY
Alabama,140,35,8,27,,105,28,77,,2019,AL
Alaska,60,20,7,13,,40,19,21,,2019,AK
Arizona,90,30,13,17,,60,29,31,,2019,AZ
Arkansas,135,35,9,26,,100,24,76,,2019,AR
California,120,40,29,11,,80,61,19,,2019,CA
Colorado,100,35,19,16,,65,41,24,,2019,CO
Connecticut,187,36,24,12,,151,92,59,,2019,CT
Delaware,62,21,12,9,,41,26,15,,2019,DE
Florida,160,40,17,23,,120,47,73,,2019,FL
Georgia,236,56,21,35,,180,74,106,,2019,GA
Hawaii,76,25,24,1,,51,46,5,,2019,HI
Idaho,105,35,7,28,,70,14,56,,2019,ID
Illinois,177,59,40,19,,118,74,44,,2019,IL
Indiana,150,50,10,40,,100,33,67,,2019,IN
Iowa,150,50,18,32,,100,46,54,,2019,IA
Kansas,165,40,11,28,1,125,40,85,,2019,KS
Kentucky,138,38,10,28,,100,39,61,,2019,KY
Louisiana,144,39,14,25,,105,39,63,3,2019,LA
Maine,186,35,21,14,,151,89,57,5,2019,ME
Maryland,188,47,32,15,,141,98,43,,2019,MD
Massachusetts,200,40,34,6,,160,127,32,1,2019,MA
